Date,Open,High,Low,Close,Volume,Adj Close,simple 10-day moving average,weighted 10-day moving average,momentum,%K,%D,output,close of yesterday,close of two days before,close of three days before,close of four days before,close of five days before,,,,,,,
2011/5/20,531.800011,531.990006,523.129979,524.030018,4630300,262.277286,531.4360017,529.1103706,-13.649971,30.61231431,41.02562271,0,531.250024,529.809999,530.459983,518.420033,529.550005,,,,,,,
2011/5/23,516.600016,519.999994,513.400033,518.390033,4595400,259.454471,529.5070061,526.7383763,-24.269957,16.08122469,36.55676135,0,524.030018,531.250024,529.809999,530.459983,518.420033,,,,,,,
2011/5/24,520.369985,523.960019,518.149978,518.260036,3796200,259.389408,527.0670107,524.6934726,-17.189947,16.11941507,30.07556032,0,518.390033,524.030018,531.250024,529.809999,530.459983,,,,,,,
2011/5/25,517.329998,522.769987,517.25,519.670002,2600500,260.095096,525.4890126,523.3485619,-15.379991,26.63541175,29.12421472,1,518.260036,518.390033,524.030018,531.250024,529.809999,,,,,,,
2011/5/26,517.699989,522.120003,514.999994,518.129979,4232700,259.324314,523.7970112,522.0105558,-11.420026,20.44057593,27.801826,0,519.670002,518.260036,518.390033,524.030018,531.250024,,,,,,,
2011/5/27,518.480031,521.790011,516.300023,520.900033,3488100,260.710727,522.932014,521.4838325,2.48,32.41143123,30.74321649,1,518.129979,519.670002,518.260036,518.390033,524.030018,,,,,,,
2011/5/31,524.999994,529.050017,523.500031,529.020018,5369200,264.774784,523.9920125,522.5907423,-1.439965,67.50214261,36.77276969,1,520.900033,518.129979,519.670002,518.260036,518.390033,,,,,,,
2011/6/1,528.039981,533.199977,525.309986,525.599979,5905800,263.063053,523.5060121,522.8830999,-4.21002,52.72236143,36.79671259,0,529.020018,520.900033,518.129979,519.670002,518.260036,,,,,,,
2011/6/2,527.569992,530.299987,522.479994,528.05998,4404500,264.294284,523.3310102,523.7110941,-3.190044,63.3533152,38.10483375,1,525.599979,529.020018,520.900033,518.129979,519.670002,,,,,,,
2011/6/3,522.000006,527.599991,521.500018,523.07998,3493500,261.801792,522.5140058,523.6654522,-0.950038,48.88875948,37.47669517,0,528.05998,525.599979,529.020018,520.900033,518.129979,,,,,,,
2011/6/6,523.54003,526.820011,519.250012,521.060029,3880300,260.790805,522.2170069,523.4010928,2.669996,38.6869579,38.28415953,0,523.07998,528.05998,525.599979,529.020018,520.900033,,,,,,,
2011/6/7,522.889984,524.630003,518.990019,519.030018,3811300,259.774784,522.2810054,522.8216403,0.769982,22.14300969,38.89033803,0,521.060029,523.07998,528.05998,525.599979,529.020018,,,,,,,
2011/6/8,516.530018,521.240025,515.780036,519.170014,3303400,259.844852,522.3720032,522.2560055,-0.499988,22.9122192,39.56961844,1,519.030018,521.060029,523.07998,528.05998,525.599979,,,,,,,
2011/6/9,519.999994,519.999994,515.639978,516.730013,3374800,258.62363,522.0780043,521.2301891,-1.399966,9.50560778,37.85663805,0,519.170014,519.030018,521.060029,523.07998,528.05998,,,,,,,
2011/6/10,514.080017,516.690014,509.290011,509.510006,4874900,255.010013,521.216007,518.9450985,-11.390027,0.920097502,35.9045902,0,516.730013,519.170014,519.030018,521.060029,523.07998,,,,,,,
2011/6/13,509.999994,510.20002,502.170002,504.730001,4849700,252.617618,519.5990038,515.9476428,-24.290017,8.250083991,33.48845548,0,509.510006,516.730013,519.170014,519.030018,521.060029,,,,,,,
2011/6/14,508.150009,514.080017,506.990007,508.370003,4678300,254.439441,517.5340023,513.9060063,-17.229976,19.98068319,28.73630954,1,504.730001,509.510006,516.730013,519.170014,519.030018,,,,,,,
2011/6/15,505.029993,508.350004,500.61001,502.950014,4142400,251.726734,515.2690058,511.2543721,-25.109966,7.881461141,24.25221951,0,508.370003,504.730001,509.510006,516.730013,519.170014,,,,,,,
2011/6/16,502.810017,506.570017,496.670015,500.370016,5508400,250.435443,512.5000094,508.5454648,-22.709964,11.96250847,19.11313884,0,502.950014,508.370003,504.730001,509.510006,516.730013,,,,,,,
2011/6/17,506.179996,506.690014,484.799999,485.019994,10480300,242.75275,508.6940108,503.5490984,-36.040035,0.523548161,14.2766177,0,500.370016,502.950014,508.370003,504.730001,509.510006,,,,,,,
2011/6/20,484.999994,486.229995,479.230013,484.580005,6051100,242.532535,505.0460084,499.1647337,-34.450013,11.78412594,11.58633451,0,485.019994,500.370016,502.950014,508.370003,504.730001,,,,,,,
